Código,Nome,Volume,Última (R$),Variação
BLAU3,Blau Farmacêutica,268.800,24,26,+1,51%
CMIG3,CEMIG,266.500,19,17,+4,93%
LEVE3,Mahle Metal Leve,266.200,30,58,-2,33%
VITT3,Vittia,249.000,11,45,+0,62%
USIM3,Usiminas,238.900,8,10,-0,61%
OPCT3,OceanPact,232.400,2,85,+0,35%
SOJA3,Boa Safra Sementes,229.500,11,45,-1,29%
PDGR3,PDG Realty,229.200,3,44,-1,71%
KRSA3,Kora Saúde,217.600,1,04,-2,80%
ELMD3,Eletromidia,215.400,16,25,-4,24%
HBRE3,HBR Realty,208.500,3,82,+1,87%
TFCO4,Track & Field,207.200,10,64,+0,38%
ITSA3,Itaúsa,207.100,8,67,+1,76%
TAEE3,Taesa,197.900,11,55,+2,03%
FESA4,Ferbasa,196.000,53,82,-3,72%
MDNE3,Moura Dubeux,195.900,5,42,+3,24%
PFRM3,Profarma,193.800,3,06,-0,33%
MELK3,Melnick,181.900,3,10,+2,99%
FIQE3,Unifique,180.300,3,50,+1,45%
PRNR3,PRINER,178.800,8,09,+4,79%
WEST3,Westwing,169.400,1,05,-2,78%
LOGN3,Log-In,163.100,39,54,+2,86%
SANB3,Banco Santander,161.900,12,75,+1,76%
CSUD3,CSU Cardsystem,159.000,10,51,+3,75%
CTSA4,Santanense,155.300,1,00,+3,09%
DOTZ3,Dotz,141.400,0,79,+0,00%
AZEV3,Azevedo & Travassos,138.900,1,41,+2,92%
TCSA3,Tecnisa,135.500,3,00,-0,99%
SANB4,Banco Santander,132.700,14,60,+1,25%
CEDO4,Cedro Têxtil,132.600,3,20,-1,54%
GOAU3,Metalúrgica Gerdau,127.800,11,18,-1,24%
RSID3,Rossi Residencial,118.400,2,99,+4,55%
BRPR3,BR Properties,117.700,63,79,+1,05%
IGTI3,Jereissati Participações,116.100,2,54,+1,20%
IGTI3,Iguatemi,116.100,2,54,+1,20%
DESK3,Desktop,109.600,8,73,+0,92%
PMAM3,Paranapanema,107.800,3,80,+5,85%
LVTC3,WDC Networks,97.300,6,14,+9,64%
OSXB3,OSX BRASIL,82.500,5,10,+2,00%
FHER3,Fertilizantes Heringer,77.700,13,32,-1,41%
OIBR4,Oi,72.900,2,60,+2,77%
TASA3,Taurus,59.200,16,54,+1,66%
BAHI3,Bahema,57.500,12,00,+50,75%
RNEW3,Renova Energia,54.000,1,52,-0,65%
PDTC3,Padtec,49.300,2,08,-0,95%
BRAP3,Bradespar,47.900,24,84,-1,86%
APER3,Alper,45.600,25,96,-0,12%
ALUP4,Alupar,40.000,9,51,+1,17%
RNEW4,Renova Energia,39.900,1,57,-2,48%
GGBR3,Gerdau,31.100,23,00,-0,39%
BOBR4,Bombril,28.800,1,20,+1,69%
SLED4,Saraiva,27.900,1,20,+1,69%
CEBR6,CEB,27.500,13,79,-0,07%
UCAS3,Unicasa,27.400,2,50,+2,04%
EALT4,Electro Aço Altona,26.200,6,98,-0,29%
DMVF3,D1000 Varejo Farma,26.000,3,31,-0,30%
BIOM3,Biomm,21.100,3,98,+2,84%
ENGI4,Energisa,20.500,7,71,+5,62%
OFSA3,Ourofino Saúde Animal,19.600,25,95,+1,96%
ALUP3,Alupar,19.500,9,53,+2,25%
JFEN3,João Fortes,19.500,2,47,+4,22%
CTNM4,Coteminas,16.600,1,20,+1,69%
BRIV4,Alfa Investimento,16.300,9,41,-0,95%
UNIP3,Unipar,16.100,69,90,+0,47%
AGXY3,AgroGalaxy,15.900,7,64,+2,14%
BEES3,Banestes,14.400,6,32,+0,64%
ALLD3,Allied,14.400,4,99,+1,22%
NEXP3,Brasil Brokers,14.400,3,69,-2,64%
BPAC5,Banco BTG Pactual,14.000,5,82,+3,74%
ATMP3,ATMASA,13.700,1,04,+0,97%
LAND3,Terra Santa,13.600,26,80,+1,36%
VSTE3,LE LIS BLANC,13.500,16,00,+0,38%
RDNI3,RNI,13.300,5,30,+0,19%
WHRL4,Whirlpool,13.000,4,53,+2,26%
AVLL3,Alphaville,12.100,3,20,+6,67%
EUCA4,Eucatex,11.800,9,11,-0,44%
TELB4,Telebrás,11.700,11,08,-5,22%
ATOM3,ATOM,10.900,2,85,-0,35%
IGTI4,Jereissati Participações,10.600,8,96,+2,75%
IGTI4,Iguatemi,10.600,8,96,+2,75%
BRKM3,Braskem,9.600,20,71,-1,15%
ENGI3,Energisa,9.400,12,69,-0,08%
RPMG3,Refinaria de Manguinhos,9.400,1,63,+1,88%
CTSA3,Santanense,9.000,1,54,+4,05%
BRSR3,Banrisul,7.600,11,33,+2,81%
CLSC4,CELESC,7.100,50,01,+0,12%
BDLL4,Bardella,6.300,9,50,+2,70%
RAPT3,Randon,6.000,7,35,+1,38%
CEBR3,CEB,5.800,13,12,+0,23%
BPAC3,Banco BTG Pactual,5.800,11,68,+2,73%
CAMB3,Cambuci,5.800,5,92,+1,37%
PTNT4,Pettenati,5.800,5,37,-1,47%
SCAR3,São Carlos,5.500,16,17,-1,64%
MTSA4,METISA,5.400,40,40,-1,44%
DEXP4,Dexxos,5.300,7,51,+0,13%
CEBR5,CEB,5.100,13,19,-1,05%
BEES4,Banestes,5.100,7,31,-0,14%
CRIV3,Alfa Financeira,5.100,5,10,-1,92%
ALPA3,Alpargatas,5.000,8,60,+3,37%
EQMA3B,Equatorial Maranhão,4.900,22,72,-1,22%
CGRA4,Grazziotin,4.700,28,89,+0,14%
PTNT3,Pettenati,4.600,8,30,-2,35%
MNPR3,Minupar,4.500,9,13,+2,58%
RPAD6,Alfa Holdings,3.600,6,37,-4,93%
CRPG5,Tronox Pigmentos,3.400,30,00,-1,64%
HAGA4,Haga,3.300,0,97,+1,04%
IGBR3,IGB S/A,2.900,112,57,+0,84%
SLED3,Saraiva,2.900,7,37,-3,15%
HOOT4,Hotéis Othon,2.800,1,07,+0,94%
GEPA4,Rio Paranapanema Energia,2.600,24,14,+0,58%
SNSY5,Sansuy,2.600,2,72,+3,42%
MNDL3,Mundial,2.500,56,95,+0,12%
EQPA3,Equatorial Pará,2.500,6,28,-3,09%
HAGA3,Haga,2.500,2,10,-1,41%
BDLL3,Bardella,2.000,11,40,+12,87%
BAZA3,Banco da Amazônia,1.800,67,98,-0,31%
EPAR3,EPAR3,1.700,11,80,+12,38%
EMAE4,EMAE,1.400,42,60,+3,93%
BMEB4,Banco Mercantil do Brasil,1.400,10,00,-1,28%
WHRL3,Whirlpool,1.400,4,43,+1,37%
RSUL4,Metalúrgica Riosulense,1.300,66,01,-5,70%
EUCA3,Eucatex,1.200,9,74,+0,41%
TRPL3,Transmissão Paulista,1.000,28,49,+0,96%
CRIV4,Alfa Financeira,1.000,5,50,+0,00%
REDE3,Rede Energia,1.000,5,10,-2,30%
WLMM4,WLM,800,23,45,+2,22%
MWET4,Wetzel,800,10,68,+2,99%
CRPG6,Tronox Pigmentos,600,30,00,+3,23%
TELB3,Telebrás,600,15,46,+1,11%
CGAS5,Comgás,500,126,65,-1,05%
CSRN3,COSERN,500,22,50,-6,25%
PATI4,Panatlântica,400,43,00,-3,28%
BGIP4,Banese,400,17,50,+2,10%
BALM4,Baumer,400,10,00,+2,04%
CLSC3,CELESC,300,47,01,+0,88%
GEPA3,Rio Paranapanema Energia,300,24,99,+13,54%
CPLE5,COPEL,300,22,39,-0,04%
BSLI4,Banco de Brasília,300,11,49,-0,78%
BRGE7,Consórcio Alfa,300,3,68,-31,85%
FRTA3,Pomi Frutas,300,2,27,+4,61%
PEAB4,Participações Aliança da Bahia,200,59,99,+11,80%
CEEB3,COELBA,200,38,00,+2,15%
CGRA3,Grazziotin,200,29,97,+2,22%
BRSR5,Banrisul,200,18,14,+9,94%
BRGE11,Consórcio Alfa,200,9,50,+3,04%
EALT3,Electro Aço Altona,200,7,21,-0,55%
CTKA4,Karsten,200,7,00,-1,41%
DOHL4,Döhler,200,4,22,+0,00%
EKTR4,Elektro,100,38,79,+0,00%
